3Mii8C Contador de carga de horas amperios,Ah charged,22 1E 32 ,((A*(2^24))+(B*(2^16))+(C*(2^8))+D)/549.3164 ,0,100000,Ah ,7E5
3Mii8C Contador de descarga de amperios hora,Ah discharged,22 1E 32 ,Signed((E*(2^24))+(F*(2^16))+(G*(2^8)+H)/549.3164 ,0,100000,Ah ,7E5
3Mii8C Contador por kilovatios hora de carga,Kwh charged,22 1E 32 ,((I*(2^24))+(J*(2^16))+(K*(2^8)+L))/8583.073 ,0,100000,kWh ,7E5
3Mii8C Contador por kilovatios hora de descarga,Kwh dicharged,22 1E 32 ,Signed((M*(2^24))+(N*(2^16))+(O*(2^8)+P))/8583.073 ,0,100000,kWh ,7E5
3Mii8C Corriente de detector de enclavamiento de alto voltaje,I detector enc,22 74 B ,(A*256+B)/1024 ,0,1000,mA ,7E5
3Mii8C Corriente de la bateria de alto voltaje / híbrida,I bat,22 1E 3D ,(A*256+B-2048)/4 ,-100,200,A ,7E5
3Mii8C Celda 1,Vcel 1,22 1E 40 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 10,Vcel 10,22 1E 49 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 100,Vcel 100,22 1E A3 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 101,Vcel 101,22 1E A4 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 102,Vcel 102,22 1E A5 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 11,Vcel 11,22 1E 4A ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 12,Vcel 12,22 1E 4B ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 13,Vcel 13,22 1E 4C ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 14,Vcel 14,22 1E 4D ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 15,Vcel 15,22 1E 4E ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 16,Vcel 16,22 1E 4F ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 17,Vcel 17,22 1E 50 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 18,Vcel 18,22 1E 51 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 19,Vcel 19,22 1E 52 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 2,Vcel 2,22 1E 41 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 20,Vcel 20,22 1E 53 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 21,Vcel 21,22 1E 54 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 22,Vcel 22,22 1E 55 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
